Waktu,Tweet,Username
2021-11-16 20:34:39+00:00,"'@BossTemlen Paling tdk laporan diterima dulu..krn mereka masih trauma dgn tagar #percumalaporpolisi , selanjutnya seperti biasa jurus godak gadik mereka mainkan..\xf0\x9f\x98\x82'",Anindio Ligouris
2021-11-16 20:18:42+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',ð¾
2021-11-16 19:33:04+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Buzzer yang baik
2021-11-16 18:45:12+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Alhadi Sapto
2021-11-16 18:24:59+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Â¿
2021-11-16 18:11:26+00:00,"'RT @kejubakarkrispi: @VIVAcoid Hilih, lapor pengelapan laptop cuma disuruh cerita panjang x lebar doang, tapi gada tindakan apa-apa. Bener\xe2\x80\xa6'",Betawi 78
2021-11-16 18:08:52+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Betawi 78
2021-11-16 17:43:19+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Lala
2021-11-16 17:26:07+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Dodoman
2021-11-16 17:23:24+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Frd
2021-11-16 16:45:35+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Cicit Cuit
2021-11-16 16:45:17+00:00,"'@OposisiCerdas Masalahnya Masyarakat tdk percaya, dilaporkan malah akan mengancam jiwa pelapor ..\nTetap Viralkan, biar pimpjnanya sadar..\n#PercumaLaporPolisi\n#NegeriParaBedebah\nhttps://t.co/I4niTxWJRN'",Golputers
2021-11-16 16:43:33+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Evandala20
2021-11-16 16:41:43+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Mawar Solitaire
2021-11-16 16:41:15+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Kurnia
2021-11-16 16:32:56+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Fazin Hisabi
2021-11-16 16:25:33+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Ã¯ b Ã« Ãâ¢ | Sudah Divaksin ð
2021-11-16 16:25:00+00:00,"'RT @ZainZaidElFikri: Maju tak gentar, mengawal yang bayar.. \n#percumalaporpolisi'",Jrowidyatmo
2021-11-16 16:24:41+00:00,'RT @PribadiEza: Lalu kamera hp kita gunanya apa pak? #percumalaporpolisi',Jrowidyatmo
2021-11-16 16:24:05+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',plampluempohmwinð
2021-11-16 16:23:27+00:00,'RT @y_yoeng: Gus Dur : Hanya Hoegeng dan polisi tidur yg tidak bisa di suap..\n#percumalaporpolisi https://t.co/Hm302j1gs3',Jrowidyatmo
2021-11-16 16:20:14+00:00,"'RT @indoprogress: Sejak muculnya #PercumaLaporPolisi, bagai air bah bermunculan kesaksian mengenai ketidakbecusan kepolisian dalam menindak\xe2\x80\xa6'",Jrowidyatmo
2021-11-16 16:19:07+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Pangkas Rambut Merapi
2021-11-16 16:05:59+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',PrayForPalu
2021-11-16 16:04:54+00:00,"'RT @indoprogress: Sejak muculnya #PercumaLaporPolisi, bagai air bah bermunculan kesaksian mengenai ketidakbecusan kepolisian dalam menindak\xe2\x80\xa6'",Fristiady Marta
2021-11-16 16:04:48+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Boneka Narsis
2021-11-16 16:01:02+00:00,"'RT @kejubakarkrispi: @VIVAcoid Hilih, lapor pengelapan laptop cuma disuruh cerita panjang x lebar doang, tapi gada tindakan apa-apa. Bener\xe2\x80\xa6'",prime_verdana
2021-11-16 16:00:28+00:00,"'RT @WEGIGISODORUSII: @VIVAcoid Mending viralkam terus, daripada #PercumaLaporPolisi'",prime_verdana
2021-11-16 15:59:38+00:00,"'RT @indo_history101: Beberapa foto ketika pasukan TNI Divisi-II Siliwangi berserta istrinya harus Hijrah dari Cirebon, Jawa Barat, Februari\xe2\x80\xa6'",gala
2021-11-16 15:58:44+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',prime_verdana
2021-11-16 15:56:03+00:00,"'RT @ZAEffendy: #PercumaLaporPolisi\n""Rugi jika percaya Polisi""?? #Nalar\nSuami ditahan &gt; Istri 19 tahun, hamil 5 bulan, diperas Rp150 Juta &amp;\xe2\x80\xa6'",ð®ð©gemahð®ð©
2021-11-16 15:41:25+00:00,'RT @PribadiEza: Lalu kamera hp kita gunanya apa pak? #percumalaporpolisi',Dena Wiliyam
2021-11-16 15:38:17+00:00,"'RT @husinsuyut: #percumalaporpolisi \nmobil guwe hilang dibawa lari orang, bikin laporan ke polisi, dipanggil ber-kali2 untuk melengkapi ber\xe2\x80\xa6'",Dena Wiliyam
2021-11-16 15:27:42+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Mamate
